Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1126,"J Steinhardt, PWW Koh…","Certified defenses for data poisoning attacks",2017,"Advances in neural …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper/2017/hash/9d7311ba459f9e45ed746755a32dcd11-Abstract.html","https://scholar.google.com/scholar?cites=10474944557566613837&as_sdt=2005&sciodt=2007&hl=en",1,"2026-01-28 13:54:56","","","",,,,,,1126,125.11,375,3,9,"… The focus of the present work is on data poisoning attacks … This body of work has demonstrated data poisoning attacks that … to a large class of data poisoning attacks? At development …","https://proceedings.neurips.cc/paper/2017/file/9d7311ba459f9e45ed746755a32dcd11-Paper.pdf","https://scholar.google.com/scholar?q=related:TVmrk5N6XpEJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
263,"A Schwarzschild, M Goldblum…","Just how toxic is data poisoning? a unified benchmark for backdoor and data poisoning attacks",2021,"International …","proceedings.mlr.press","http://proceedings.mlr.press/v139/schwarzschild21a.html","https://scholar.google.com/scholar?cites=15855049854905847899&as_sdt=2005&sciodt=2007&hl=en",2,"2026-01-28 13:54:56","","","",,,,,,263,52.60,88,3,5,"… We observe that data poisoning and backdoor attacks are highly … as valuable prototypes for data poisoning, we apply rigorous … benchmarks for data poisoning and backdoor attacks. …","http://proceedings.mlr.press/v139/schwarzschild21a/schwarzschild21a.pdf","https://scholar.google.com/scholar?q=related:W5DF4dZzCNwJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
139,"X Zhang, X Zhu, L Lessard","Online data poisoning attacks",2020,"Learning for Dynamics and …","proceedings.mlr.press","https://proceedings.mlr.press/v120/zhang20b.html","https://scholar.google.com/scholar?cites=13620688710793989498&as_sdt=2005&sciodt=2007&hl=en",3,"2026-01-28 13:54:56","","","",,,,,,139,23.17,46,3,6,"… We study data poisoning attacks in the online learning setting, where training data arrive … , this paper builds a foundation for future studies of defense against online data poisoning. …","http://proceedings.mlr.press/v120/zhang20b/zhang20b.pdf","https://scholar.google.com/scholar?q=related:eo0MizdoBr0J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
156,"FA Yerlikaya, Ş Bahtiyar","Data poisoning attacks against machine learning algorithms",2022,"Expert Systems with Applications","Elsevier","https://www.sciencedirect.com/science/article/pii/S0957417422012933","https://scholar.google.com/scholar?cites=16852180316159626775&as_sdt=2005&sciodt=2007&hl=en",4,"2026-01-28 13:54:56","","","",,,,,,156,39.00,78,2,4,"… We use data poisoning for manipulating training data during adversarial attacks, which are random label flipping and distance-based label flipping attacks. We analyze the performance …","","https://scholar.google.com/scholar?q=related:F06G-7X43ukJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
288,"WR Huang, J Geiping, L Fowl…","Metapoison: Practical general-purpose clean-label data poisoning",2020,"Advances in Neural …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper/2020/hash/8ce6fc704072e351679ac97d4a985574-Abstract.html","https://scholar.google.com/scholar?cites=12626791803327337128&as_sdt=2005&sciodt=2007&hl=en",5,"2026-01-28 13:54:56","","","",,,,,,288,48.00,72,4,6,"… MetaPoison is robust: poisoned data made for one model … We demonstrate for the first time successful data poisoning … First, we re-evaluate bilevel optimization for data poisoning of …","https://proceedings.neurips.cc/paper/2020/file/8ce6fc704072e351679ac97d4a985574-Paper.pdf","https://scholar.google.com/scholar?q=related:qNIj2j5gO68J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
31,"P Zhao, W Zhu, P Jiao, D Gao, O Wu","Data poisoning in deep learning: A survey",2025,"arXiv preprint arXiv:2503.22759","arxiv.org","https://arxiv.org/abs/2503.22759","https://scholar.google.com/scholar?cites=6884772249059466121&as_sdt=2005&sciodt=2007&hl=en",6,"2026-01-28 13:54:56","","","",,,,,,31,31.00,6,5,1,"… threat of data poisoning, where attackers introduce maliciously manipulated training data to … While existing surveys provide valuable insights into data poisoning, they generally adopt a …","https://arxiv.org/pdf/2503.22759?","https://scholar.google.com/scholar?q=related:iRuoKOKfi18J:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
29,"P He, H Xu, Y Xing, H Liu, M Yamada…","Data poisoning for in-context learning",2025,"Findings of the …","aclanthology.org","https://aclanthology.org/2025.findings-naacl.91/","https://scholar.google.com/scholar?cites=5224769788405052465&as_sdt=2005&sciodt=2007&hl=en",7,"2026-01-28 13:54:56","","","",,,,,,29,29.00,5,6,1,"… This paper examines ICL’s vulnerability to data poisoning attacks. We introduce ICLPoison, an attacking method specially designed to exploit ICL’s unique learning mechanisms by …","https://aclanthology.org/2025.findings-naacl.91.pdf","https://scholar.google.com/scholar?q=related:MXQTx3AcgkgJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
1255,"V Tolpegin, S Truex, ME Gursoy, L Liu","Data poisoning attacks against federated learning systems",2020,"European symposium on research …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-58951-6_24","https://scholar.google.com/scholar?cites=1517828116352522374&as_sdt=2005&sciodt=2007&hl=en",8,"2026-01-28 13:54:56","","10.1007/978-3-030-58951-6_24","",,,,,,1255,209.17,314,4,6,"… data poisoning attacks against FL systems in which a malicious subset of the participants aim to poison the global model by sending model updates derived from mislabeled data. We …","https://arxiv.org/pdf/2007.08432","https://scholar.google.com/scholar?q=related:hthKSaFoEBUJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
97,"J Fan, Q Yan, M Li, G Qu, Y Xiao","A survey on data poisoning attacks and defenses",2022,"… Data Science in Cyberspace …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9900151/","https://scholar.google.com/scholar?cites=15055517502354538626&as_sdt=2005&sciodt=2007&hl=en",9,"2026-01-28 13:54:56","","","",,,,,,97,24.25,19,5,4,"… data to make the resulting model skewed or unusable. This paper reviews the relevant researches on data poisoning … then the defense methods of data poisoning attacks are sorted out, …","","https://scholar.google.com/scholar?q=related:gsCEnWbx79AJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
239,"AE Cinà, K Grosse, A Demontis, S Vascon…","Wild patterns reloaded: A survey of machine learning security against training data poisoning",2023,"ACM Computing …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3585385","https://scholar.google.com/scholar?cites=6450390182576079100&as_sdt=2005&sciodt=2007&hl=en",10,"2026-01-28 13:54:56","","10.1145/3585385","",,,,,,239,79.67,48,5,3,"… While the vast majority of the poisoning literature focuses on supervised classification models in the computer vision domain, we would like to remark here that data poisoning has been …","https://dl.acm.org/doi/pdf/10.1145/3585385","https://scholar.google.com/scholar?q=related:_EAdB7JjhFkJ:scholar.google.com/&scioq=data+poisoning&hl=en&as_sdt=2007"
